method,top1_success,top10_hits,best_percentile,normalized_regret,unique_loci,invalid_action_rate
random,0.4666666666666667,9.433333333333334,98.4946291177735,0.4309446650867661,37.68333333333333,0.0
plm_greedy,0.4,11.3,98.24963772557767,0.41854168176651,38.25,0.0
plm_diverse,0.55,11.8,98.14800275148511,0.39859957741573454,39.1,0.0
ucb,0.7,11.95,99.08376811784102,0.40480985920876267,33.15,0.0
ei,0.5,9.85,97.85129429038842,0.4274691563099623,33.4,0.0
thompson,0.48333333333333334,10.916666666666666,98.38099310283587,0.42040471884732444,36.3,0.0
random_first_al,0.45,11.7,98.4176380738135,0.4292607389700909,33.71666666666667,0.0
prior_first_al,0.65,12.7,99.0113586145967,0.37830426301807163,34.35,0.0
folde_lite,0.65,13.1,98.34255435561664,0.4285084614530206,38.05,0.0
cider_fixed,0.7,11.95,99.08376811784102,0.40480985920876267,33.15,0.0
cider_qwen35_4b,0.45,12.4,98.27987447312415,0.4315727775916457,33.9,0.0
cider_qwen3_8b,0.4,11.7,98.34291382939887,0.43211423959583045,33.25,0.0
cider_gpt_oss_20b,0.7,11.95,99.08376811784102,0.40480985920876267,33.15,0.0
